§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
2867	0.00449	2867	0.003288	2867	0.004179	2867	0.002641
2970	0.004173	2970	0.002942	2970	0.004815	2970	0.00269
3072	0.004117	3072	0.002486	3072	0.004945	3072	0.002822
3174	0.004173	3174	0.002382	3174	0.004498	3174	0.003119
3277	0.004259	3277	0.002369	3277	0.004018	3277	0.003527
3482	0.004338	3482	0.00247	3482	0.003599	3482	0.004109
3686	0.004484	3686	0.002441	3686	0.00345	3686	0.004216
3891	0.004514	3891	0.002635	3891	0.00351	3891	0.003999
4096	0.004269	4096	0.002958	4096	0.002913	4096	0.003958
4301	0.003941	4301	0.003712	4301	0.002623	4301	0.003959
4506	0.003598	4506	0.004034	4506	0.002572	4506	0.003602
4710	0.002897	4710	0.004219	4710	0.002433	4710	0.002987
4915	0.002297	4915	0.004461	4915	0.00215	4915	0.00262
5120	0.002114	5120	0.004753	5120	0.001727	5120	0.002507
5325	0.003045	5325	0.004954	5325	0.001907	5325	0.003061
5530	0.003809	5530	0.004253	5530	0.002404	5530	0.004074
5734	0.004432	5734	0.003511	5734	0.003025	5734	0.004535
5939	0.004012	5939	0.00341	5939	0.003433	5939	0.004267
6144	0.003933	6144	0.003888	6144	0.003813	6144	0.003708
